Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C2, C3, C4, C8",0402,7,1uF,
"C10, C11, C12, C17, C21, C5, C7, C9",0402,8,100nF,
"C13, C6",0603,2,10uF,
C14,0402,1,10nF,
"C18, C19",0402,2,10pF,
C20,0402,1,100pF,
FB1,0603,1,FerriteBead,
J1,CONN19_FH35C-19S-0.3SHW99_HIR,1,FH35C-19S-0.3SHW99,
J3,PinHeader_2x03_P2.00mm_Vertical,1,DBG_Con,
R1,0402,1,200k,
R2,0402,1,10k,
"R3, R4, R5, R6",0402,4,1.8K,
U1,LQFP48_STM,1,STM32U031C8T6,
U2,LGA-12_2X2X0P86_STM,1,LIS2DS12,
U4,SOT_233DBVR_TEX,1,TPS7A0218PDBVR,
U5,SOT23_DBV_TEX,1,TPS7A0230PDBVR,
U6,SSOP-8_2.95x2.8mm_P0.65mm,1,PCA9306,
U7,UMLP12_1P7X2_ONS,1,FXLA0104QFX-F106,
U8,DCK0006A_N,1,SN74LVC1G3157DCKR,
U9,21-0137_T1033-1C_MXM,1,MAX31331TETB+,
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,128k,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
